Tanggal,Merek,DPLK,Tipe Risiko,Saham,Pasar Uang / Kas,Pendapatan Tetap (Obligasi / SBN / Sukuk),Total Invest,1 Bulan,3 Bulan,6 Bulan,1 Tahun,3 Tahun,5 Tahun,AUM (M),Link
Januari 2023,Allianz,DPLK_Equity_Fund,Agresif,88.98,11.02,0,100,1.73,-2.37,-2.6,0.68,16.83,8.18,213.42,https://drive.google.com/file/d/18KG0olP-op6RBD2Zj2vO5hs_2JMG_r5W/view?usp=sharing
Februari 2023,Allianz,DPLK_Equity_Fund,Agresif,90.68,9.32,0,100,-0.22,-3.86,-4.75,-1.7,26.03,7.81,214.6,https://drive.google.com/file/d/18MTNmZvXLLmi89CCvueft6epfv22MX05/view?usp=sharing
Maret 2023,Allianz,DPLK_Equity_Fund,Agresif,87.87,12.13,0,100,-0.2,1.29,-2.69,-7.8,56.38,13.69,215.06,https://drive.google.com/file/d/1D6tZcoJ3rsqvfUzA6AGAeGk99xwnu_v9/view?usp=sharing
April 2023,Allianz,DPLK_Equity_Fund,Agresif,92.74,7.26,0,100,2.07,1.63,-0.78,-9.54,52.17,20.39,219.19,https://drive.google.com/file/d/1OKo8TSoBG-X1olAb4IR6eEyt7w2Q6Mt-/view?usp=sharing
Januari 2023,Allianz,DPLK_PPUKP_Equity_Fund,Agresif,88.97,11.03,0,100,1.66,-2.43,-2.5,0.48,14.31,3.02,35.63,https://drive.google.com/file/d/1PKQoe80cTqtwyNEqzivYnIXSv-PmbBVW/view?usp=sharing
Februari 2023,Allianz,DPLK_PPUKP_Equity_Fund,Agresif,91.17,8.83,0,100,-0.24,-3.9,-4.91,-2.07,23.23,2.75,35.56,https://drive.google.com/file/d/1D84Oss4hSZ_VWqRztejzr2kEINK4tg7C/view?usp=sharing
Maret 2023,Allianz,DPLK_PPUKP_Equity_Fund,Agresif,89.14,10.86,0,100,-0.21,1.22,-2.79,-8.06,54.98,8.44,35.04,https://drive.google.com/file/d/1soSy2zR1Fc5AI6ADFXDPfdIWl7iTfCPe/view?usp=sharing
April 2023,Allianz,DPLK_PPUKP_Equity_Fund,Agresif,93.15,6.85,0,100,2.02,1.57,-0.91,-9.81,50.56,15.04,35.34,https://drive.google.com/file/d/1zH0_ImNZ2hzmSOkAglyaWkFlzPrqN6tk/view?usp=drive_link
Januari 2023,Allianz,DPLK_Money_Market_Fund,Konservatif,0,99.99,0.01,100,0.44,1.22,2.05,3.48,13.63,30.7,1323.96,https://drive.google.com/file/d/14rYHyoh7WT5nWppzu1JZbIYRV8VLg6qB/view?usp=drive_link
Februari 2023,Allianz,DPLK_Money_Market_Fund,Konservatif,0,98.37,1.63,100,0.42,1.28,2.21,3.71,13.57,30.58,1260.58,https://drive.google.com/file/d/1Ee2HSZyz-5nYBxzVG3_4qIH3jVdjEo3x/view?usp=drive_link
Maret 2023,Allianz,DPLK_Money_Market_Fund,Konservatif,0,96.63,3.37,100,0.47,1.33,2.43,3.91,13.46,30.51,1292.05,https://drive.google.com/file/d/1Vk9H4O-PYp4JLRo4_L2FNmb_uOVEA-9G/view?usp=drive_link
April 2023,Allianz,DPLK_Money_Market_Fund,Konservatif,0,92.43,7.57,100,0.42,1.31,2.55,4.12,13.36,30.32,1298.3,https://drive.google.com/file/d/1MpuvkEWYHxmmO3LAsl88DY5O3UQn77px/view?usp=drive_link
Januari 2023,Allianz,DPLK_PPUKP_Money_Market_Fund,Konservatif,0,97.97,2.03,100,0.47,1.22,2.03,3.44,13.46,30.22,991.66,https://drive.google.com/file/d/1W6QH4hxmKULPPxAHJHBlOQbreGn_p2kF/view?usp=drive_link
Februari 2023,Allianz,DPLK_PPUKP_Money_Market_Fund,Konservatif,0,96.91,3.09,100,0.41,1.29,2.19,3.66,13.37,30.11,1006.99,https://drive.google.com/file/d/1FcBXeBJVRGQKNUFOzOkm3WEpNrmcAcqI/view?usp=drive_link
Maret 2023,Allianz,DPLK_PPUKP_Money_Market_Fund,Konservatif,0,88.03,11.97,100,0.48,1.37,2.44,3.88,13.28,30.07,998.26,https://drive.google.com/file/d/1D-EtpCjzhxs6mhM8o-oC0fINk6mG08B1/view?usp=drive_link
April 2023,Allianz,DPLK_PPUKP_Money_Market_Fund,Konservatif,0,81.27,18.73,100,0.42,1.32,2.55,4.09,13.18,29.88,989.97,https://drive.google.com/file/d/1gEgtq8HcIdx3mTllIl26iAHfJA7plUY1/view?usp=drive_link
Januari 2023,Allianz,DPLK_Fixed_Income,Moderat,0,5.49,94.51,100,1.36,5.48,4.93,5.16,22.17,39.93,246.37,https://drive.google.com/file/d/1ZipUOU72Lc08_4Xol-j_weLdtlpEgE6B/view?usp=drive_link
Februari 2023,Allianz,DPLK_Fixed_Income,Moderat,0,4.13,95.87,100,-0.08,2.16,3.94,4.57,22.58,41.39,246.84,https://drive.google.com/file/d/1MGcyF4fxfQBPD1rKzFMHAIyd6l46PpqR/view?usp=drive_link
Maret 2023,Allianz,DPLK_Fixed_Income,Moderat,0,3.14,96.86,100,1.01,2.31,6.11,6.3,29.63,41.99,252.23,https://drive.google.com/file/d/1UZ6eEOMwyPgZAT3iePaASAha5yybMGgD/view?usp=drive_link
